YEAR,TEAM,PAYROLL,DIVISION,WINS,LOSSES,*DATA COURTESY OF BASEBALL REFERENCE & STEVETHEUMP.COM*
2025,Cubs,192.7M,NL Central,92,70,
2016,Orioles,115.6M,AL East,89,73,
2017,Orioles,163.7M,AL East,75,87,
2018,Orioles,143.1M,AL East,47,115,
2019,Orioles,72.7M,AL East,54,108,
2020,Orioles,23.9M,AL East,25,35,
2021,Orioles,45.7M,AL East,52,110,
2022,Orioles,30.2M,AL East,83,79,
2023,Orioles,64.9M,AL East,101,61,
2024,Orioles,94.5M,AL East,91,71,
2025,Orioles,164.3M,AL East,75,87,
2016,Royals,112.9M,AL Central,81,81,
2017,Royals,140.9M,AL Central,80,82,
2018,Royals,129.9M,AL Central,58,104,
2019,Royals,100.7M,AL Central,59,103,
2020,Royals,35.6M,AL Central,26,34,
2021,Royals,87.8M,AL Central,74,88,
2022,Royals,74.1M,AL Central,65,97,
2023,Royals,75.8M,AL Central,56,106,
2024,Royals,105.2M,AL Central,86,76,
2025,Royals,126.4M,AL Central,82,80,
2016,Padres,112.9M,NL West,68,94,
2017,Padres,71.6M,NL West,71,91,
2018,Padres,96.1M,NL West,66,96,
2019,Padres,99.2M,NL West,70,92,
2020,Padres,69.5M,NL West,37,23,
2021,Padres,171.7M,NL West,79,83,
2022,Padres,208.8M,NL West,89,73,
2023,Padres,237.0M,NL West,82,80,
2024,Padres,153.8M,NL West,93,69,
2025,Padres,209.3M,NL West,90,72,
2016,Twins,108.3M,AL Central,59,103,
2017,Twins,108.1M,AL Central,85,77,
2018,Twins,131.9M,AL Central,78,84,
2019,Twins,121.3M,AL Central,101,61,
2020,Twins,48.7M,AL Central,36,24,
2021,Twins,121.0M,AL Central,73,89,
2022,Twins,110.9M,AL Central,78,84,
2023,Twins,141.3M,AL Central,87,75,
2024,Twins,118.9M,AL Central,82,80,
2025,Twins,145.9M,AL Central,70,92,
2016,Mets,99.6M,NL East,87,75,
2017,Mets,155.2M,NL East,70,92,
2018,Mets,154.6M,NL East,77,85,
2019,Mets,159.0M,NL East,86,76,
2020,Mets,80.3M,NL East,26,34,
2021,Mets,167.4M,NL East,77,85,
2022,Mets,253.1M,NL East,101,61,
2023,Mets,334.2M,NL East,75,87,
2024,Mets,301.7M,NL East,89,73,
2025,Mets,321.6M,NL East,83,79,
2016,White Sox,98.7M,AL Central,78,84,
2017,White Sox,99.1M,AL Central,67,95,
2018,White Sox,72.2M,AL Central,62,100,
2019,White Sox,89.4M,AL Central,72,89,
2020,White Sox,51.4M,AL Central,35,25,
2021,White Sox,126.0M,AL Central,93,69,
2022,White Sox,181.7M,AL Central,81,81,
2023,White Sox,180.9M,AL Central,61,101,
2024,White Sox,117.8M,AL Central,41,121,
2025,White Sox,73.7M,AL Central,60,102,
2016,Brewers,98.7M,NL Central,73,89,
2017,Brewers,63.1M,NL Central,86,76,
2018,Brewers,90.2M,NL Central,96,67,
2019,Brewers,124.8M,NL Central,89,73,
2020,Brewers,39.4M,NL Central,29,31,
2021,Brewers,87.6M,NL Central,95,67,
2022,Brewers,122.3M,NL Central,86,76,
2023,Brewers,108.6M,NL Central,92,70,
2024,Brewers,94.5M,NL Central,93,69,
2025,Brewers,110.8M,NL Central,96,65,
2016,Rockies,98.3M,NL West,75,87,
2017,Rockies,131.0M,NL West,87,75,
2018,Rockies,141.3M,NL West,91,72,
2019,Rockies,147.4M,NL West,71,91,
2020,Rockies,60.3M,NL West,26,34,
2021,Rockies,104.0M,NL West,74,87,
2022,Rockies,129.5M,NL West,68,94,
2023,Rockies,166.3M,NL West,59,103,
2024,Rockies,134.1M,NL West,61,101,
2025,Rockies,121.5M,NL West,43,119,
2016,Braves,87.6M,NL East,68,93,
2017,Braves,112.4M,NL East,72,90,
2018,Braves,120.5M,NL East,90,72,
2019,Braves,113.8M,NL East,97,65,
2020,Braves,66.3M,NL East,35,25,
2021,Braves,134.5M,NL East,88,73,
2022,Braves,173.9M,NL East,101,61,
2023,Braves,199.7M,NL East,104,58,
2024,Braves,225.3M,NL East,89,73,
2025,Braves,215.3M,NL East,76,86,
2016,Guardians,86.3M,AL Central,94,67,
2017,Guardians,124.9M,AL Central,102,60,
2018,Guardians,134.4M,AL Central,91,71,
2019,Guardians,119.2M,AL Central,93,69,
2020,Guardians,37.6M,AL Central,35,25,
2021,Guardians,46.8M,AL Central,80,82,
2022,Guardians,42.3M,AL Central,92,70,
2023,Guardians,75.0M,AL Central,76,86,
2024,Guardians,86.4M,AL Central,92,69,
2025,Guardians,99.6M,AL Central,88,74,
2016,Pirates,85.9M,NL Central,78,83,
2017,Pirates,100.6M,NL Central,75,87,
2018,Pirates,87.9M,NL Central,82,79,
2019,Pirates,76.6M,NL Central,69,93,
2020,Pirates,24.8M,NL Central,19,41,
