YEAR,TEAM,PAYROLL,DIVISION,WINS,LOSSES,*DATA COURTESY OF BASEBALL REFERENCE & STEVETHEUMP.COM*
2019,Reds,"126,423,214",NL Central,75,87,
2020,Reds,"$53,315,987",NL Central,31,29,
2021,Reds,"$118,748,164",NL Central,83,79,
2022,Reds,"$99,580,000",NL Central,62,100,
2023,Reds,"$86,374,500",NL Central,82,80,
2024,Reds,"$88,123,333",NL Central,77,85,
2025,Reds,"$116,673,117",NL Central,83,79,
2016,Cubs,"$116,654,522",NL Central,103,58,
2017,Cubs,"$172,189,880",NL Central,92,70,
2018,Cubs,"$183,460,000",NL Central,95,68,
2019,Cubs,"$210,358,488",NL Central,84,78,
2020,Cubs,"$76,166,963",NL Central,34,26,
2021,Cubs,"$149,665,500",NL Central,71,91,
2022,Cubs,"$130,560,000",NL Central,74,88,
2023,Cubs,"$180,115,000",NL Central,83,79,
2024,Cubs,"$216,330,000",NL Central,83,79,
2025,Cubs,"$192,720,128",NL Central,92,70,
2016,Orioles,"$115,587,632",AL East,89,73,
2017,Orioles,"$163,676,616",AL East,75,87,
2018,Orioles,"$143,090,000",AL East,47,115,
2019,Orioles,"$72,722,906",AL East,54,108,
2020,Orioles,"$23,918,577",AL East,25,35,
2021,Orioles,"$45,701,135",AL East,52,110,
2022,Orioles,"$30,221,166",AL East,83,79,
2023,Orioles,"$64,907,966",AL East,101,61,
2024,Orioles,"$94,495,168",AL East,91,71,
2025,Orioles,"164,267,878",AL East,75,87,
2016,Royals,"$112,914,525",AL Central,81,81,
2017,Royals,"$140,925,250",AL Central,80,82,
2018,Royals,"$129,920,000",AL Central,58,104,
2019,Royals,"$100,658,316",AL Central,59,103,
2020,Royals,"$35,631,531",AL Central,26,34,
2021,Royals,"$87,779,400",AL Central,74,88,
2022,Royals,"$74,110,000",AL Central,65,97,
2023,Royals,"$75,825,000",AL Central,56,106,
2024,Royals,"$105,219,570",AL Central,86,76,
2025,Royals,"$126,410,770",AL Central,82,80,
2016,Padres,"$112,895,700",NL West,68,94,
2017,Padres,"$71,624,400",NL West,71,91,
2018,Padres,"$96,130,000",NL West,66,96,
2019,Padres,"$99,205,017",NL West,70,92,
2020,Padres,"$69,465,574",NL West,37,23,
2021,Padres,"$171,686,600",NL West,79,83,
2022,Padres,"$208,772,618",NL West,89,73,
2023,Padres,"$236,962,024",NL West,82,80,
2024,Padres,"$153,765,453",NL West,93,69,
2025,Padres,"$209,332,417",NL West,90,72,
2016,Twins,"$108,262,000",AL Central,59,103,
2017,Twins,"$108,077,500",AL Central,85,77,
2018,Twins,"$131,910,000",AL Central,78,84,
2019,Twins,"$121,276,933",AL Central,101,61,
2020,Twins,"$48,747,770",AL Central,36,24,
2021,Twins,"$121,003,834",AL Central,73,89,
2022,Twins,"$110,859,524",AL Central,78,84,
2023,Twins,"$141,271,190",AL Central,87,75,
2024,Twins,"$118,886,590",AL Central,82,80,
2025,Twins,"$145,863,554",AL Central,70,92,
2016,Mets,"$99,626,453",NL East,87,75,
2017,Mets,"$155,187,460",NL East,70,92,
2018,Mets,"$154,610,000",NL East,77,85,
2019,Mets,"$158,999,270",NL East,86,76,
2020,Mets,"$80,296,949",NL East,26,34,
2021,Mets,"$167,415,024",NL East,77,85,
2022,Mets,"$253,119,999",NL East,101,61,
2023,Mets,"$334,233,332",NL East,75,87,
2024,Mets,"$301,731,074",NL East,89,73,
2025,Mets,"$321,594,220",NL East,83,79,
2016,White Sox,"$98,712,867",AL Central,78,84,
2017,White Sox,"$99,119,770",AL Central,67,95,
2018,White Sox,"$72,180,000",AL Central,62,100,
2019,White Sox,"$89,354,534",AL Central,72,89,
2020,White Sox,"$51,404,630",AL Central,35,25,
2021,White Sox,"$125,987,500",AL Central,93,69,
2022,White Sox,"$181,660,734",AL Central,81,81,
2023,White Sox,"$180,911,666",AL Central,61,101,
2024,White Sox,"$117,773,333",AL Central,41,121,
2025,White Sox,"$73,703,990",AL Central,60,102,
2016,Brewers,"$98,683,035",NL Central,73,89,
2017,Brewers,"$63,061,300",NL Central,86,76,
2018,Brewers,"$90,240,000",NL Central,96,67,
2019,Brewers,"$124,755,400",NL Central,89,73,
2020,Brewers,"$39,405,276",NL Central,29,31,
2021,Brewers,"$87,569,366",NL Central,95,67,
2022,Brewers,"$122,281,128",NL Central,86,76,
2023,Brewers,"$108,644,960",NL Central,92,70,
2024,Brewers,"$94,484,960",NL Central,93,69,
2025,Brewers,"$110,839,368",NL Central,96,65,
2016,Rockies,"$98,261,171",NL West,75,87,
2017,Rockies,"$130,963,571",NL West,87,75,
2018,Rockies,"$141,340,000",NL West,91,72,
2019,Rockies,"$147,433,009",NL West,71,91,
2020,Rockies,"$60,330,370",NL West,26,34,
2021,Rockies,"$103,986,666",NL West,74,87,
2022,Rockies,"$129,452,166",NL West,68,94,
2023,Rockies,"$166,250,466",NL West,59,103,
2024,Rockies,"$134,099,285",NL West,61,101,
