YEAR,TEAM,SPENDING (in millions),DIVISION,WINS,LOSSES
2021,Chargers,$178.12,AFC West,9,8
2022,Chargers,$259.99,AFC West,10,7
2023,Chargers,$246.23,AFC West,5,12
2024,Chargers,$238.94,AFC West,11,6
2025,Chargers,$302.67,AFC West,11,6
2016,Raiders,$159.54,AFC West,12,4
2017,Raiders,$171.93,AFC West,6,10
2018,Raiders,$184.17,AFC West,4,12
2019,Raiders,$189.94,AFC West,7,9
2020,Raiders,$234.94,AFC West,8,8
2021,Raiders,$196.78,AFC West,10,7
2022,Raiders,$222.04,AFC West,6,11
2023,Raiders,$247.97,AFC West,8,9
2024,Raiders,$213.39,AFC West,4,13
2025,Raiders,$280.44,AFC West,3,14
2016,Commanders,$149.91,NFC East,8,7
2017,Commanders,$182.46,NFC East,7,9
2018,Commanders,$186.13,NFC East,7,9
2019,Commanders,$173.42,NFC East,3,13
2020,Commanders,$202.72,NFC East,7,9
2021,Commanders,$226.24,NFC East,7,10
2022,Commanders,$212.35,NFC East,8,8
2023,Commanders,$205.45,NFC East,4,13
2024,Commanders,$273.58,NFC East,12,5
2025,Commanders,$303.52,NFC East,5,12
2016,Eagles,$210.37,NFC East,7,9
2017,Eagles,$174.51,NFC East,13,3
2018,Eagles,$169.21,NFC East,9,7
2019,Eagles,$216.84,NFC East,9,7
2020,Eagles,$240.21,NFC East,4,11
2021,Eagles,$219.54,NFC East,9,8
2022,Eagles,$229.13,NFC East,14,3
2023,Eagles,$257.03,NFC East,11,6
2024,Eagles,$321.81,NFC East,14,3
2025,Eagles,$292.27,NFC East,11,6
2016,Cowboys,$162.31,NFC East,13,3
2017,Cowboys,$148.72,NFC East,9,7
2018,Cowboys,$150.54,NFC East,10,6
2019,Cowboys,$193.60,NFC East,8,8
2020,Cowboys,$249.81,NFC East,6,10
2021,Cowboys,$261.62,NFC East,12,5
2022,Cowboys,$195.11,NFC East,12,5
2023,Cowboys,$260.66,NFC East,12,5
2024,Cowboys,$282.53,NFC East,7,10
2025,Cowboys,$323.76,NFC East,7,9
2016,Giants,$168.92,NFC East,11,5
2017,Giants,$164.40,NFC East,3,13
2018,Giants,$188.93,NFC East,5,11
2019,Giants,$185.99,NFC East,4,12
2020,Giants,$193.60,NFC East,6,10
2021,Giants,$206.95,NFC East,4,13
2022,Giants,$197.57,NFC East,9,7
2023,Giants,$262.66,NFC East,6,11
2024,Giants,$267.07,NFC East,3,14
2025,Giants,$307.79,NFC East,4,13
2016,Packers,$144.29,NFC North,10,6
2017,Packers,$177.92,NFC North,7,9
2018,Packers,$205.28,NFC North,6,9
2019,Packers,$201.34,NFC North,13,3
2020,Packers,$227.56,NFC North,13,3
2021,Packers,$186.23,NFC North,13,4
2022,Packers,$282.79,NFC North,8,9
2023,Packers,$215.43,NFC North,9,8
2024,Packers,$276.47,NFC North,11,6
2025,Packers,$304.06,NFC North,9,7
2016,Lions,$148.85,NFC North,9,7
2017,Lions,$203.20,NFC North,9,7
2018,Lions,$157.73,NFC North,6,10
2019,Lions,$209.82,NFC North,3,12
2020,Lions,$200.76,NFC North,5,11
2021,Lions,$199.42,NFC North,3,13
2022,Lions,$231.09,NFC North,9,8
2023,Lions,$215.26,NFC North,12,5
2024,Lions,$315.87,NFC North,15,2
2025,Lions,$302.68,NFC North,9,8
2016,Vikings,$159.81,NFC North,8,8
2017,Vikings,$168.72,NFC North,13,3
2018,Vikings,$218.09,NFC North,8,7
2019,Vikings,$205.93,NFC North,10,6
2020,Vikings,$228.71,NFC North,7,9
2021,Vikings,$191.45,NFC North,8,9
2022,Vikings,$230.01,NFC North,13,4
2023,Vikings,$232.18,NFC North,7,10
2024,Vikings,$279.53,NFC North,14,3
2025,Vikings,$345.84,NFC North,9,8
2016,Bears,$157.96,NFC North,3,13
2017,Bears,$175.39,NFC North,5,11
2018,Bears,$237.29,NFC North,12,4
2019,Bears,$180.65,NFC North,8,8
2020,Bears,$228.52,NFC North,8,8
2021,Bears,$194.61,NFC North,6,11
2022,Bears,$146.61,NFC North,3,14
2023,Bears,$242.13,NFC North,7,10
2024,Bears,$301.36,NFC North,5,12
2025,Bears,$312.70,NFC North,11,6
2016,Buccaneers,$159.08,NFC South,9,7
2017,Buccaneers,$150.87,NFC South,5,11
2018,Buccaneers,$192.60,NFC South,5,11
2019,Buccaneers,$194.45,NFC South,7,9
2020,Buccaneers,$216.93,NFC South,11,5
2021,Buccaneers,$264.96,NFC South,13,4
2022,Buccaneers,$266.27,NFC South,8,9
2023,Buccaneers,$213.22,NFC South,9,8
2024,Buccaneers,$256.19,NFC South,10,7
2025,Buccaneers,$300.08,NFC South,8,9
2016,Saints,$163.21,NFC South,7,9
2017,Saints,$156.57,NFC South,11,5
2018,Saints,$170.73,NFC South,13,3
2019,Saints,$194.90,NFC South,13,3
2020,Saints,$253.58,NFC South,12,4
2021,Saints,$213.30,NFC South,9,8
2022,Saints,$275.56,NFC South,7,10
2023,Saints,$262.66,NFC South,9,8
2024,Saints,$266.39,NFC South,5,12
2025,Saints,$238.85,NFC South,6,11
2016,Falcons,$139.70,NFC South,11,5
2017,Falcons,$175.56,NFC South,10,6
2018,Falcons,$188.49,NFC South,7,9
2019,Falcons,$262.72,NFC South,7,9
2020,Falcons,$205.77,NFC South,4,12
2021,Falcons,$159.54,NFC South,7,10
2022,Falcons,$168.52,NFC South,7,10
2023,Falcons,$263.72,NFC South,7,10
2024,Falcons,$323.75,NFC South,8,9
2025,Falcons,$283.08,NFC South,8,9
2016,Panthers,$126.49,NFC South,6,10
2017,Panthers,$206.12,NFC South,11,5
2018,Panthers,$189.28,NFC South,7,9
2019,Panthers,$183.93,NFC South,5,11
