YEAR,TEAM,TEAM SPENDING,DIVISION,WINS,LOSSES,* DATA COURTESY OF FOOTBALL REFERENCE & SPOTRAC*
2017,Chiefs,"$159,569,682",AFC West,10,6,
2018,Chiefs,"$182,309,602",AFC West,12,4,
2019,Chiefs,"$181,488,372",AFC West,12,4,
2020,Chiefs,"$202,794,195",AFC West,14,2,
2021,Chiefs,"$203,581,142",AFC West,12,5,
2022,Chiefs,"$223,117,521",AFC West,14,3,
2023,Chiefs,"$240,100,335",AFC West,11,6,
2024,Chiefs,"$293,789,869",AFC West,15,2,
2025,Chiefs,"$326,303,432",AFC West,6,11,
2016,Broncos,"$179,442,038",AFC West,9,7,
2017,Broncos,"$154,640,768",AFC West,5,11,
2018,Broncos,"$197,310,268",AFC West,6,10,
2019,Broncos,"$182,444,289",AFC West,7,9,
2020,Broncos,"$205,985,315",AFC West,5,11,
2021,Broncos,"$201,546,409",AFC West,7,10,
2022,Broncos,"$240,855,104",AFC West,5,12,
2023,Broncos,"$230,473,008",AFC West,8,9,
2024,Broncos,"$268,104,839",AFC West,10,7,
2025,Broncos,"$319,238,687",AFC West,14,3,
2016,Chargers,"$170,977,607",AFC West,5,11,
2017,Chargers,"$159,903,771",AFC West,9,7,
2018,Chargers,"$161,202,604",AFC West,12,4,
2019,Chargers,"$165,982,982",AFC West,5,11,
2020,Chargers,"$247,147,613",AFC West,7,9,
2021,Chargers,"$178,116,370",AFC West,9,8,
2022,Chargers,"$259,986,304",AFC West,10,7,
2023,Chargers,"$246,226,414",AFC West,5,12,
2024,Chargers,"$238,941,585",AFC West,11,6,
2025,Chargers,"$302,667,799",AFC West,11,6,
2016,Raiders,"$159,540,069",AFC West,12,4,
2017,Raiders,"$171,930,272",AFC West,6,10,
2018,Raiders,"$184,168,322",AFC West,4,12,
2019,Raiders,"$189,936,735",AFC West,7,9,
2020,Raiders,"$234,936,034",AFC West,8,8,
2021,Raiders,"$196,778,325",AFC West,10,7,
2022,Raiders,"$222,038,717",AFC West,6,11,
2023,Raiders,"$247,971,612",AFC West,8,9,
2024,Raiders,"$213,387,197",AFC West,4,13,
2025,Raiders,"$280,443,455",AFC West,3,14,
2016,Commanders,"$149,909,864",NFC East,8,7,
2017,Commanders,"$182,464,563",NFC East,7,9,
2018,Commanders,"$186,128,031",NFC East,7,9,
2019,Commanders,"$173,419,820",NFC East,3,13,
2020,Commanders,"$202,715,438",NFC East,7,9,
2021,Commanders,"$226,235,385",NFC East,7,10,
2022,Commanders,"$212,352,240",NFC East,8,8,
2023,Commanders,"$205,452,062",NFC East,4,13,
2024,Commanders,"$273,578,070",NFC East,12,5,
2025,Commanders,"$303,521,301",NFC East,5,12,
2016,Eagles,"$210,367,354",NFC East,7,9,
2017,Eagles,"$174,505,298",NFC East,13,3,
2018,Eagles,"$169,207,644",NFC East,9,7,
2019,Eagles,"$216,841,499",NFC East,9,7,
2020,Eagles,"$240,209,619",NFC East,4,11,
2021,Eagles,"$219,539,780",NFC East,9,8,
2022,Eagles,"$229,127,656",NFC East,14,3,
2023,Eagles,"$257,031,185",NFC East,11,6,
2024,Eagles,"$321,806,423",NFC East,14,3,
2025,Eagles,"$292,274,678",NFC East,11,6,
2016,Cowboys,"$162,307,460",NFC East,13,3,
2017,Cowboys,"$148,720,797",NFC East,9,7,
2018,Cowboys,"$150,535,766",NFC East,10,6,
2019,Cowboys,"$193,595,175",NFC East,8,8,
2020,Cowboys,"$249,805,299",NFC East,6,10,
2021,Cowboys,"$261,616,245",NFC East,12,5,
2022,Cowboys,"$195,112,647",NFC East,12,5,
2023,Cowboys,"$260,662,228",NFC East,12,5,
2024,Cowboys,"$282,529,861",NFC East,7,10,
2025,Cowboys,"$323,756,020",NFC East,7,9,
2016,Giants,"$168,915,447",NFC East,11,5,
2017,Giants,"$164,404,122",NFC East,3,13,
2018,Giants,"$188,931,420",NFC East,5,11,
2019,Giants,"$185,986,735",NFC East,4,12,
2020,Giants,"$193,597,452",NFC East,6,10,
2021,Giants,"$206,947,126",NFC East,4,13,
2022,Giants,"$197,568,856",NFC East,9,7,
2023,Giants,"$262,659,201",NFC East,6,11,
2024,Giants,"$267,069,285",NFC East,3,14,
2025,Giants,"$307,786,024",NFC East,4,13,
2016,Packers,"$144,285,426",NFC North,10,6,
2017,Packers,"$177,915,677",NFC North,7,9,
2018,Packers,"$205,277,970",NFC North,6,9,
2019,Packers,"$201,335,045",NFC North,13,3,
2020,Packers,"$227,559,199",NFC North,13,3,
2021,Packers,"$186,230,943",NFC North,13,4,
2022,Packers,"$282,787,991",NFC North,8,9,
2023,Packers,"$215,430,571",NFC North,9,8,
2024,Packers,"$276,474,094",NFC North,11,6,
2025,Packers,"$304,055,424",NFC North,9,7,
2016,Lions,"$148,850,813",NFC North,9,7,
2017,Lions,"$203,201,022",NFC North,9,7,
2018,Lions,"$157,732,296",NFC North,6,10,
2019,Lions,"$209,816,803",NFC North,3,12,
2020,Lions,"$200,759,182",NFC North,5,11,
2021,Lions,"$199,421,112",NFC North,3,13,
2022,Lions,"$231,094,766",NFC North,9,8,
2023,Lions,"$215,259,525",NFC North,12,5,
2024,Lions,"$315,872,546",NFC North,15,2,
2025,Lions,"$302,682,888",NFC North,9,8,
2016,Vikings,"$159,807,865",NFC North,8,8,
2017,Vikings,"$168,715,705",NFC North,13,3,
2018,Vikings,"$218,094,470",NFC North,8,7,
2019,Vikings,"$205,929,680",NFC North,10,6,
2020,Vikings,"$228,710,674",NFC North,7,9,
2021,Vikings,"$191,451,850",NFC North,8,9,
2022,Vikings,"$230,013,506",NFC North,13,4,
2023,Vikings,"$232,178,130",NFC North,7,10,
2024,Vikings,"$279,531,855",NFC North,14,3,
2025,Vikings,"$345,839,763",NFC North,9,8,
2016,Bears,"$157,964,751",NFC North,3,13,
2017,Bears,"$175,389,321",NFC North,5,11,
2018,Bears,"$237,288,530",NFC North,12,4,
2019,Bears,"$180,654,708",NFC North,8,8,
2020,Bears,"$228,516,276",NFC North,8,8,
2021,Bears,"$194,612,268",NFC North,6,11,
2022,Bears,"$146,608,450",NFC North,3,14,
2023,Bears,"$242,128,850",NFC North,7,10,
2024,Bears,"$301,360,345",NFC North,5,12,
2025,Bears,"$312,702,247",NFC North,11,6,
2016,Buccaneers,"$159,076,009",NFC South,9,7,
2017,Buccaneers,"$150,872,053",NFC South,5,11,
2018,Buccaneers,"$192,600,609",NFC South,5,11,
2019,Buccaneers,"$194,454,423",NFC South,7,9,
2020,Buccaneers,"$216,934,740",NFC South,11,5,
2021,Buccaneers,"$264,956,432",NFC South,13,4,
2022,Buccaneers,"$266,273,465",NFC South,8,9,
2023,Buccaneers,"$213,220,761",NFC South,9,8,
2024,Buccaneers,"$256,193,977",NFC South,10,7,
2025,Buccaneers,"$300,079,261",NFC South,8,9,
2016,Saints,"$163,210,887",NFC South,7,9,
2017,Saints,"$156,573,591",NFC South,11,5,
2018,Saints,"$170,732,511",NFC South,13,3,
2019,Saints,"$194,895,299",NFC South,13,3,
2020,Saints,"$253,584,935",NFC South,12,4,
2021,Saints,"$213,296,004",NFC South,9,8,
