YEAR,TEAM,TEAM SPENDING,DIVISION,WINS,LOSSES,* DATA COURTESY OF FOOTBALL REFERENCE & SPOTRAC*
2023,Broncos,230.5M,AFC West,8,9,
2024,Broncos,268.1M,AFC West,10,7,
2025,Broncos,319.2M,AFC West,14,3,
2016,Chargers,171.0M,AFC West,5,11,
2017,Chargers,159.9M,AFC West,9,7,
2018,Chargers,161.2M,AFC West,12,4,
2019,Chargers,166.0M,AFC West,5,11,
2020,Chargers,247.1M,AFC West,7,9,
2021,Chargers,178.1M,AFC West,9,8,
2022,Chargers,260.0M,AFC West,10,7,
2023,Chargers,246.2M,AFC West,5,12,
2024,Chargers,238.9M,AFC West,11,6,
2025,Chargers,302.7M,AFC West,11,6,
2016,Raiders,159.5M,AFC West,12,4,
2017,Raiders,171.9M,AFC West,6,10,
2018,Raiders,184.2M,AFC West,4,12,
2019,Raiders,189.9M,AFC West,7,9,
2020,Raiders,234.9M,AFC West,8,8,
2021,Raiders,196.8M,AFC West,10,7,
2022,Raiders,222.0M,AFC West,6,11,
2023,Raiders,248.0M,AFC West,8,9,
2024,Raiders,213.4M,AFC West,4,13,
2025,Raiders,280.4M,AFC West,3,14,
2016,Commanders,149.9M,NFC East,8,7,
2017,Commanders,182.5M,NFC East,7,9,
2018,Commanders,186.1M,NFC East,7,9,
2019,Commanders,173.4M,NFC East,3,13,
2020,Commanders,202.7M,NFC East,7,9,
2021,Commanders,226.2M,NFC East,7,10,
2022,Commanders,212.4M,NFC East,8,8,
2023,Commanders,205.5M,NFC East,4,13,
2024,Commanders,273.6M,NFC East,12,5,
2025,Commanders,303.5M,NFC East,5,12,
2016,Eagles,210.4M,NFC East,7,9,
2017,Eagles,174.5M,NFC East,13,3,
2018,Eagles,169.2M,NFC East,9,7,
2019,Eagles,216.8M,NFC East,9,7,
2020,Eagles,240.2M,NFC East,4,11,
2021,Eagles,219.5M,NFC East,9,8,
2022,Eagles,229.1M,NFC East,14,3,
2023,Eagles,257.0M,NFC East,11,6,
2024,Eagles,321.8M,NFC East,14,3,
2025,Eagles,292.3M,NFC East,11,6,
2016,Cowboys,162.3M,NFC East,13,3,
2017,Cowboys,148.7M,NFC East,9,7,
2018,Cowboys,150.5M,NFC East,10,6,
2019,Cowboys,193.6M,NFC East,8,8,
2020,Cowboys,249.8M,NFC East,6,10,
2021,Cowboys,261.6M,NFC East,12,5,
2022,Cowboys,195.1M,NFC East,12,5,
2023,Cowboys,260.7M,NFC East,12,5,
2024,Cowboys,282.5M,NFC East,7,10,
2025,Cowboys,323.8M,NFC East,7,9,
2016,Giants,168.9M,NFC East,11,5,
2017,Giants,164.4M,NFC East,3,13,
2018,Giants,188.9M,NFC East,5,11,
2019,Giants,186.0M,NFC East,4,12,
2020,Giants,193.6M,NFC East,6,10,
2021,Giants,206.9M,NFC East,4,13,
2022,Giants,197.6M,NFC East,9,7,
2023,Giants,262.7M,NFC East,6,11,
2024,Giants,267.1M,NFC East,3,14,
2025,Giants,307.8M,NFC East,4,13,
2016,Packers,144.3M,NFC North,10,6,
2017,Packers,177.9M,NFC North,7,9,
2018,Packers,205.3M,NFC North,6,9,
2019,Packers,201.3M,NFC North,13,3,
2020,Packers,227.6M,NFC North,13,3,
2021,Packers,186.2M,NFC North,13,4,
2022,Packers,282.8M,NFC North,8,9,
2023,Packers,215.4M,NFC North,9,8,
2024,Packers,276.5M,NFC North,11,6,
